ID	BW56	GENERATION	SEX
146414	774	14	1
327403	697	3	1
99202	508	2	1
353303	381	3	2
54902	752	2	1
287815	512	15	2
137113	456	13	2
281715	602	15	1
633911	492	11	1
331603	1078	3	1
358503	716	3	2
296115	646	15	2
271915	661	15	1
519808	168	8	1
297518	373	18	2
341703	655	3	2
347003	723	3	1
117102	719	2	1
853206	842	6	2
137902	662	2	2
293815	682	15	2
633711	572	11	2
359003	708	3	1
342603	973	3	1
316215	667	15	1
623511	890	11	1
60102	470	2	1
83302	285	2	2
519108	414	8	1
621405	699	5	2
630911	318	11	2
271515	509	15	2
326304	526	4	2
846006	726	6	1
637011	554	11	1
910307	614	7	1
311415	623	15	1
317615	367	15	2
280115	775	15	1
137613	225	13	2
739616	721	16	1
231809	484	9	2
137802	363	2	2
616305	541	5	1
103302	478	2	1
300515	708	15	1
517008	353	8	1
70002	896	2	1
627705	615	5	1
146402	328	2	2
138913	690	13	1
235815	793	15	1
222809	1038	9	1
237415	487	15	2
137213	756	13	2
380410	576	10	2
198218	754	18	1
554408	530	8	1
321815	635	15	1
640111	612	11	2
109502	965	2	1
337103	670	3	2
84902	566	2	2
94502	412	2	2
142202	628	2	2
274115	687	15	2
134902	812	2	1
301115	651	15	2
329415	702	15	2
199218	257	18	2
283915	472	15	2
109102	575	2	2
540808	371	8	1
100202	609	2	2
303815	619	15	1
80402	318	2	1
106802	670	2	1
132313	817	13	2
120302	598	2	2
195718	330	18	1
55402	660	2	2
139002	661	2	2
135813	710	13	1
317703	699	3	2
52902	314	2	2
613505	557	5	1
384310	535	10	2
197818	430	18	2
132802	558	2	2
106002	810	2	1
247215	527	15	1
114702	764	2	1
357503	801	3	1
620805	344	5	2
527908	176	8	1
76302	622	2	1
78202	592	2	2
302315	579	15	2
216009	483	9	2
110502	495	2	2
551708	160	8	1
84102	428	2	1
296915	561	15	2
298715	758	15	1
633305	838	5	1
73802	805	2	1
296615	614	15	1
331504	688	4	1
557308	705	8	1
291715	577	15	1
335103	661	3	2
558108	714	8	1
64702	927	2	1
50202	777	2	1
140602	504	2	2
851406	580	6	2
218409	592	9	2
56802	650	2	2
86202	533	2	2
317203	718	3	2
342503	788	3	1
322315	680	15	1
345004	574	4	1
65102	943	2	1
557808	412	8	2
373204	771	4	1
223409	1026	9	1
330403	998	3	2
79502	601	2	2
121802	595	2	2
277515	456	15	2
280615	542	15	1
321303	955	3	1
107802	739	2	2
358803	601	3	2
333304	525	4	1
556108	420	8	2
285615	777	15	1
298918	808	18	1
106702	712	2	1
381310	384	10	2
255415	440	15	1
97502	686	2	2
83802	491	2	2
119502	701	2	2
194218	407	18	2
847306	660	6	1
100102	598	2	2
621805	865	5	1
138613	540	13	1
44902	240	2	1
367104	603	4	1
229809	620	9	2
846306	979	6	1
250615	550	15	1
324403	618	3	2
554508	220	8	1
280415	403	15	2
80102	532	2	2
170414	762	14	2
330715	792	15	1
550608	356	8	2
294415	641	15	2
915307	1086	7	1
312615	465	15	2
274915	600	15	2
862906	1013	6	1
274815	615	15	2
36902	636	2	2
330915	651	15	2
157814	652	14	1
533708	292	8	2
344404	661	4	1
145614	962	14	1
541708	297	8	2
295115	260	15	2
145202	982	2	1
260715	792	15	1
58502	571	2	2
135913	475	13	2
188918	315	18	2
906107	1081	7	1
200618	578	18	1
622805	792	5	1
295915	477	15	1
335003	656	3	2
334703	729	3	1
627805	412	5	2
126913	544	13	2
292715	716	15	1
376210	669	10	1
308215	664	15	1
135402	541	2	1
291515	150	15	2
261815	753	15	1
85802	822	2	1
124717	429	17	2
56402	762	2	2
105902	571	2	2
851006	617	6	2
327703	652	3	1
282615	693	15	2
518308	343	8	2
78602	882	2	1
256515	546	15	2
632605	625	5	2
739216	734	16	1
315515	517	15	1
629205	659	5	1
314815	694	15	1
156914	429	14	2
254215	575	15	2
72602	731	2	1
516908	350	8	2
88702	721	2	1
329015	564	15	2
555408	519	8	1
92002	955	2	2
78802	200	2	2
331103	520	3	2
118702	765	2	2
309215	460	15	2
41602	625	2	1
329903	359	3	2
375704	699	4	1
350903	981	3	1
617705	589	5	1
326403	950	3	1
558508	477	8	2
115502	750	2	1
169814	685	14	2
283115	529	15	2
348603	659	3	2
315103	298	3	1
334403	627	3	2
138102	455	2	2
330603	1160	3	1
358603	999	3	1
90102	923	2	2
58702	548	2	2
226409	664	9	2
160614	525	14	1
341503	712	3	2
316915	434	15	2
292115	702	15	1
127302	599	2	1
255115	620	15	2
518908	262	8	2
69702	520	2	1
307115	573	15	1
296815	554	15	2
250715	410	15	2
846206	750	6	2
75202	504	2	1
338104	672	4	1
228009	736	9	2
316103	497	3	2
170514	930	14	1
223309	695	9	2
334615	839	15	1
844806	941	6	1
340903	534	3	2
67302	465	2	2
153114	886	14	1
114602	553	2	1
319203	710	3	1
108402	665	2	1
126917	312	17	2
426510	566	10	2
322615	545	15	2
132017	685	17	2
138513	435	13	2
546908	288	8	1
170614	748	14	2
736116	708	16	1
517508	235	8	1
93102	210	2	2
145502	902	2	2
320115	642	15	1
383910	629	10	1
250815	430	15	2
136702	654	2	2
258015	531	15	2
729916	750	16	1
373604	491	4	2
633805	568	5	2
253515	591	15	1
329603	900	3	1
113402	804	2	1
125917	393	17	2
35102	974	2	1
356203	560	3	2
230309	621	9	1
45102	358	2	2
55902	529	2	2
530108	263	8	2
290215	699	15	2
627111	570	11	2
329203	348	3	2
631705	798	5	2
104902	698	2	1
330103	517	3	2
54202	692	2	2
332703	712	3	2
325303	1002	3	1
530708	118	8	1
109902	599	2	1
195418	508	18	2
552408	330	8	1
77602	743	2	1
612105	825	5	1
330615	627	15	1
341103	460	3	2
854906	1037	6	1
98702	603	2	1
227609	732	9	1
552308	536	8	2
120017	535	17	2
618305	589	5	2
338903	847	3	1
517208	404	8	2
141402	812	2	1
90302	621	2	2
195618	695	18	2
90202	1050	2	1
152214	1091	14	1
157914	650	14	1
322215	547	15	2
517808	280	8	2
134013	740	13	1
740916	580	16	1
230509	840	9	1
340503	1007	3	1
137302	500	2	2
553808	370	8	2
305215	818	15	1
632711	652	11	1
261515	648	15	2
552008	399	8	1
255215	610	15	2
319915	464	15	2
68702	582	2	1
634111	452	11	2
334215	602	15	2
841306	711	6	2
382110	519	10	1
339304	557	4	2
321603	679	3	2
862406	773	6	2
626211	704	11	1
855006	754	6	2
276515	621	15	1
260115	498	15	2
375310	835	10	1
521608	197	8	2
131613	525	13	1
632511	921	11	1
624111	398	11	2
370304	761	4	1
115702	692	2	1
105002	446	2	2
254115	537	15	2
260615	548	15	2
323403	670	3	2
345903	627	3	2
905207	687	7	1
323303	594	3	2
519208	269	8	1
109702	549	2	2
129313	751	13	2
616105	529	5	2
97302	519	2	1
39302	602	2	1
331203	1096	3	2
354303	581	3	2
557208	542	8	1
123802	488	2	1
293115	479	15	2
102602	891	2	2
559608	572	8	1
380310	857	10	1
732716	780	16	1
146302	446	2	2
344103	513	3	2
297115	544	15	2
314115	566	15	2
58902	672	2	2
519908	167	8	2
855806	541	6	2
518408	362	8	2
330315	650	15	1
245115	654	15	1
258715	594	15	1
78702	223	2	2
73302	465	2	2
115602	572	2	2
36502	627	2	1
122102	901	2	1
261915	314	15	2
161614	1140	14	1
157014	750	14	2
533508	340	8	2
87902	766	2	2
312815	604	15	1
80502	1005	2	1
256615	845	15	1
100002	691	2	2
330203	1022	3	1
154814	448	14	2
73902	740	2	2
518508	353	8	1
147914	650	14	2
200018	473	18	2
63102	831	2	1
636205	419	5	2
83502	646	2	2
59502	527	2	2
60802	510	2	2
387010	776	10	2
276015	758	15	1
373710	394	10	1
548108	287	8	1
292515	590	15	2
637911	565	11	2
547808	475	8	1
320615	697	15	1
94102	728	2	2
735516	402	16	2
633705	707	5	2
357903	546	3	2
189118	406	18	1
216609	703	9	1
351203	602	3	2
66002	509	2	2
88602	509	2	2
111402	1098	2	1
865206	957	6	2
252815	570	15	2
318415	606	15	2
627611	708	11	1
316503	757	3	1
373510	507	10	1
105602	591	2	1
737616	358	16	2
721916	478	16	2
165414	720	14	2
323603	593	3	1
629005	765	5	1
517108	281	8	2
240215	985	15	1
282515	347	15	2
116802	950	2	1
222209	695	9	1
358604	756	4	1
54702	1133	2	1
73502	481	2	2
864206	961	6	1
86402	287	2	2
39402	544	2	2
249815	610	15	2
315703	479	3	2
382610	721	10	2
531608	501	8	1
358504	441	4	1
116302	750	2	1
332115	478	15	2
67402	1037	2	1
330115	420	15	2
194818	472	18	2
296415	334	15	2
160414	916	14	1
342704	782	4	1
288015	479	15	1
258515	709	15	1
326715	635	15	1
320815	726	15	1
357103	704	3	2
316903	525	3	1
911407	784	7	1
303515	653	15	2
328904	453	4	2
255715	577	15	2
192118	570	18	2
283715	546	15	2
112302	638	2	1
131813	435	13	2
225809	634	9	1
272215	708	15	2
116602	719	2	1
197618	420	18	2
729516	710	16	1
259115	510	15	2
333303	624	3	2
37302	569	2	2
339203	449	3	2
326815	329	15	2
360504	673	4	1
121217	554	17	2
321515	575	15	1
132113	792	13	1
325003	616	3	2
311315	350	15	2
347904	624	4	1
847006	506	6	1
248815	636	15	1
56902	702	2	2
124202	756	2	2
384910	558	10	1
220609	657	9	2
328203	721	3	2
132902	397	2	2
151814	1028	14	1
557908	423	8	2
44802	545	2	1
341204	416	4	2
386810	646	10	2
299515	812	15	1
134202	701	2	1
130813	777	13	1
253015	795	15	1
353003	337	3	2
276615	634	15	1
334004	541	4	2
51702	405	2	1
336303	521	3	2
79002	742	2	2
145514	727	14	2
86302	807	2	2
148914	690	14	2
620205	782	5	1
316203	534	3	1
104402	1056	2	1
344203	644	3	2
120502	701	2	2
136617	504	17	2
336003	750	3	1
313215	728	15	1
88902	647	2	1
322415	825	15	1
59602	661	2	2
329215	741	15	2
330803	990	3	2
49502	223	2	2
561008	466	8	1
546808	234	8	2
288415	604	15	1
202818	342	18	1
132117	277	17	2
314615	459	15	1
98802	797	2	2
115402	458	2	2
110702	523	2	2
346303	806	3	1
48302	671	2	2
354003	481	3	2
333515	783	15	1
914107	904	7	1
434310	800	10	2
332903	656	3	2
257015	606	15	2
547108	410	8	2
41102	687	2	1
232109	807	9	1
323015	775	15	1
138202	684	2	1
337703	426	3	2
620305	649	5	2
357003	572	3	2
555808	741	8	1
200718	495	18	1
343704	543	4	1
88102	620	2	1
336903	674	3	2
74302	759	2	1
554708	481	8	1
321203	545	3	2
258115	617	15	2
321715	827	15	1
331803	625	3	2
308715	771	15	1
295218	755	18	1
521008	236	8	2
134702	596	2	2
238815	614	15	2
50602	428	2	1
138013	666	13	2
36802	562	2	2
87502	614	2	2
40802	605	2	1
344704	429	4	2
630605	923	5	1
35202	546	2	2
371804	704	4	1
552808	434	8	1
328103	632	3	2
123602	620	2	1
728416	818	16	1
913907	757	7	1
231909	725	9	1
108502	812	2	1
738516	1029	16	1
334903	526	3	2
349203	622	3	2
149214	685	14	2
548408	263	8	2
301715	515	15	2
156114	935	14	1
280815	645	15	1
71802	583	2	1
37902	665	2	2
636105	693	5	1
347604	527	4	2
72902	721	2	1
368804	730	4	1
314215	733	15	2
121002	804	2	1
723616	645	16	1
327303	541	3	2
95402	445	2	2
230109	510	9	2
354403	538	3	2
339803	683	3	1
236915	526	15	2
863706	931	6	1
345303	723	3	2
106302	670	2	2
353603	662	3	2
229909	715	9	1
302415	533	15	2
616805	472	5	2
251115	681	15	2
308515	716	15	2
228509	565	9	2
560208	440	8	1
127702	817	2	1
72802	298	2	1
382710	604	10	2
534708	356	8	1
318215	478	15	2
240615	628	15	1
326203	807	3	2
337003	833	3	1
152614	773	14	2
348903	745	3	2
252715	664	15	1
840906	556	6	1
128313	896	13	1
342303	849	3	1
624011	524	11	2
129813	590	13	2
319903	711	3	2
169614	650	14	2
295615	369	15	2
321415	599	15	2
56502	820	2	1
69602	337	2	2
360603	683	3	1
286515	195	15	2
161414	760	14	2
56102	1179	2	1
623411	792	11	2
88502	283	2	2
384410	460	10	2
257815	534	15	2
54802	725	2	1
64402	542	2	2
323415	855	15	1
128913	795	13	2
540908	577	8	1
137013	642	13	1
552908	308	8	1
66402	430	2	2
310715	746	15	1
328003	838	3	1
71302	263	2	1
255915	664	15	2
62402	620	2	1
562908	372	8	1
845006	845	6	1
313915	883	15	1
100902	755	2	1
343303	640	3	2
147002	361	2	2
254015	715	15	1
272115	484	15	2
72402	621	2	2
741016	525	16	2
234215	466	15	2
324203	373	3	2
97702	672	2	1
95702	391	2	2
280315	764	15	1
320215	545	15	1
628705	583	5	2
